"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"150",155,1.25,"Subadult","Male",4,285.366760253906,NA,"negative",382321.315337934,7254184.34049273
"151",156,1.25,"Subadult","Male",3.5,285.366760253906,13,"negative",382321.315337934,7254184.34049273
"152",157,1,"Calf","Male",3.5,285.366760253906,12,"negative",382321.315337934,7254184.34049273
"153",158,7.1,"Adult","Female",4.75,176.824569702148,56,"positive",392109.142385783,7198121.23572613
"154",159,20,"Oldadult","Female",4,176.824569702148,32,"positive",392109.142385783,7198121.23572613
"155",160,2.5,"Subadult","Female",4.5,176.824569702148,19,"negative",392109.142385783,7198121.23572613
"156",161,2.5,"Subadult","Female",4.5,176.824569702148,9,"negative",392109.142385783,7198121.23572613
"157",162,0.83,"Calf","Female",4.25,176.824569702148,13,"negative",392109.142385783,7198121.23572613
"158",163,1.75,"Subadult","Female",4.5,176.824569702148,NA,"negative",392109.142385783,7198121.23572613
"159",164,4,"Subadult","Female",4.25,206.551086425781,NA,"negative",395340.415633803,7202634.36839786
"160",165,5.3,"Adult","Female",4.75,206.551086425781,10,"negative",395340.415633803,7202634.36839786
"161",166,9.5,"Adult","Female",5,206.551086425781,34,"positive",395340.415633803,7202634.36839786
"162",167,1.25,"Subadult","Male",4.25,206.551086425781,NA,"negative",395340.415633803,7202634.36839786
"163",168,1.25,"Subadult","Male",4.75,206.551086425781,NA,"negative",395340.415633803,7202634.36839786
"164",169,1,"Calf","Female",4,206.551086425781,211,"positive",395340.415633803,7202634.36839786
"165",170,7.5,"Adult","Female",4.25,217.214599609375,NA,"negative",396359.989966662,7202293.36804992
"166",171,8.7,"Adult","Female",4.75,217.214599609375,3,"negative",396359.989966662,7202293.36804992
"167",172,1.5,"Subadult","Male",3.75,217.214599609375,15,"negative",396359.989966662,7202293.36804992
"168",173,1.75,"Subadult","Female",3.5,217.214599609375,NA,"negative",396359.989966662,7202293.36804992
"169",174,11.6,"Adult","Female",4.25,380.880218505859,NA,"negative",359868.752946442,7297887.91242617
"170",175,4.5,"Adult","Female",5,380.880218505859,4,"negative",359868.752946442,7297887.91242617
"171",176,1.5,"Subadult","Male",4.25,380.880218505859,NA,"negative",359868.752946442,7297887.91242617
"172",177,1,"Subadult","Male",4,380.880218505859,8,"negative",359868.752946442,7297887.91242617
"173",178,1,"Calf","Male",4.25,380.880218505859,NA,"negative",359868.752946442,7297887.91242617
"174",179,4.5,"Calf","Female",4.25,397.759368896484,NA,"negative",359083.353969005,7300672.12828461
"175",180,1.5,"Adult","Female",3.75,380.880218505859,NA,"negative",359868.752946442,7297887.91242617
"176",181,1.25,"Subadult","Female",4.25,397.759368896484,NA,"negative",359083.353969005,7300672.12828461
"177",182,1,"Calf","Female",4,397.759368896484,23,"negative",359083.353969005,7300672.12828461
"178",183,1.25,"Subadult","Male",3.75,397.759368896484,786,"positive",359083.353969005,7300672.12828461
"179",185,9.7,"Adult","Female",4.5,352.416046142578,NA,"negative",361375.379941575,7282863.73900907
"180",186,4.5,"Adult","Female",4.25,352.416046142578,1,"negative",361375.379941575,7282863.73900907
"181",187,2.5,"Subadult","Female",4.25,352.416046142578,38,"positive",361375.379941575,7282863.73900907
"182",188,1.5,"Subadult","Female",4.5,352.416046142578,116,"positive",361375.379941575,7282863.73900907
"183",189,1,"Calf","Female",4,352.416046142578,NA,"negative",361375.379941575,7282863.73900907
