x,y,value,Group,Fill
331417.06060945,7175216.28676157,0.00241679817750848,1,0
331849.813147303,7175216.28676157,0.00243533232946538,1,0
332282.565685156,7175216.28676157,0.00245185797288851,1,0
332715.31822301,7175216.28676157,0.00246838361631164,1,0
333148.070760863,7175216.28676157,0.00248490925973478,1,0
333580.823298716,7175216.28676157,0.00250143490315791,1,0
334013.575836569,7175216.28676157,0.00251796054658104,1,0
334446.328374423,7175216.28676157,0.00253448619000417,1,0
334879.080912276,7175216.28676157,0.00255101183342731,1,0
335311.833450129,7175216.28676157,0.00256753747685044,1,0
335744.585987982,7175216.28676157,0.0025841693466612,1,0
336177.338525836,7175216.28676157,0.0026010131382672,1,0
336610.091063689,7175216.28676157,0.0026205760633755,1,0
337042.843601542,7175216.28676157,0.00264734684834951,1,0
337475.596139395,7175216.28676157,0.00267411763332352,1,0
337908.348677249,7175216.28676157,0.00270088841829752,1,0
338341.101215102,7175216.28676157,0.0027256386537812,1,0
338773.853752955,7175216.28676157,0.00274462624562437,1,0
339206.606290808,7175216.28676157,0.00276361383746754,1,0
339639.358828662,7175216.28676157,0.0027898093508282,1,0
340072.111366515,7175216.28676157,0.00281699028262397,1,0
340504.863904368,7175216.28676157,0.00284417121441974,1,0
340937.616442221,7175216.28676157,0.00287329225783302,1,0
341370.368980075,7175216.28676157,0.0029028194756455,1,0.003
341803.121517928,7175216.28676157,0.00292584546568585,1,0.003
342235.874055781,7175216.28676157,0.00293884480099381,1,0.003
342668.626593634,7175216.28676157,0.00295184413630178,1,0.003
343101.379131487,7175216.28676157,0.00296484347160974,1,0.003
343534.131669341,7175216.28676157,0.0029778428069177,1,0.003
343966.884207194,7175216.28676157,0.00299084214222566,1,0.003
344399.636745047,7175216.28676157,0.00300384147753363,1,0.003
344832.389282901,7175216.28676157,0.00301684081284159,1,0.003
345265.141820754,7175216.28676157,0.00302984014814955,1,0.003
345697.894358607,7175216.28676157,0.00304283948345752,1,0.003
346130.64689646,7175216.28676157,0.00306227340441002,1,0.003
346563.399434314,7175216.28676157,0.00308589770425192,1,0.003
346996.151972167,7175216.28676157,0.00310965642941168,1,0.003
347428.90451002,7175216.28676157,0.00313226181834069,1,0.003
347861.657047873,7175216.28676157,0.00312315374061003,1,0.003
348294.409585726,7175216.28676157,0.00311266993411421,1,0.003
348727.16212358,7175216.28676157,0.0031021861276184,1,0.003
349159.914661433,7175216.28676157,0.00309170232112259,1,0.003
349592.667199286,7175216.28676157,0.00308121851462678,1,0.003
350025.41973714,7175216.28676157,0.00307073470813097,1,0.003
350458.172274993,7175216.28676157,0.00306217508270832,1,0.003
350890.924812846,7175216.28676157,0.00306206255222047,1,0.003
351323.677350699,7175216.28676157,0.00306195002173262,1,0.003
351756.429888552,7175216.28676157,0.00306183749124478,1,0.003
352189.182426406,7175216.28676157,0.00306172496075693,1,0.003
352621.934964259,7175216.28676157,0.00305809725829997,1,0.003
353054.687502112,7175216.28676157,0.00304374510503698,1,0.003
353487.440039965,7175216.28676157,0.00301851976443489,1,0.003
353920.192577819,7175216.28676157,0.00299127830653637,1,0.003
354352.945115672,7175216.28676157,0.00296403684863784,1,0.003
354785.697653525,7175216.28676157,0.00293679539073931,1,0.003
355218.450191378,7175216.28676157,0.00290955393284079,1,0.003
